HOSPITALIZED COUNT,DEATH COUNT,CASE COUNT,HOSPITALIZED COUNT_7 DA,DEATH COUNT_7 DA,CASE COUNT_7 DA,BOROUGH,date_of_interest
39,2,553,37,4,459,Brooklyn,11/24/2020
39,7,575,36,4,451,Brooklyn,11/23/2020
39,1,340,35,3,440,Brooklyn,11/22/2020
27,3,354,33,4,424,Brooklyn,11/21/2020
40,2,435,34,4,408,Brooklyn,11/20/2020
37,6,491,33,4,396,Brooklyn,11/19/2020
40,4,468,31,4,381,Brooklyn,11/18/2020
30,3,493,27,4,370,Brooklyn,11/17/2020
34,1,496,27,3,365,Brooklyn,11/16/2020
26,6,232,26,3,354,Brooklyn,11/15/2020
32,5,238,25,3,353,Brooklyn,11/14/2020
32,2,356,22,3,351,Brooklyn,11/13/2020
21,6,383,21,3,334,Brooklyn,11/12/2020
13,2,394,22,3,324,Brooklyn,11/11/2020
30,2,459,24,3,312,Brooklyn,11/10/2020
28,1,418,24,4,292,Brooklyn,11/9/2020
20,3,224,23,5,281,Brooklyn,11/8/2020
12,5,224,23,6,282,Brooklyn,11/7/2020
20,2,238,23,5,267,Brooklyn,11/6/2020
28,4,312,23,6,260,Brooklyn,11/5/2020
28,7,312,22,5,243,Brooklyn,11/4/2020
29,6,319,21,5,231,Brooklyn,11/3/2020
22,7,337,20,4,220,Brooklyn,11/2/2020
19,10,231,19,4,203,Brooklyn,11/1/2020
18,2,117,19,3,188,Brooklyn,10/31/2020
18,4,192,20,2,189,Brooklyn,10/30/2020
22,2,192,21,2,190,Brooklyn,10/29/2020
16,3,231,20,2,197,Brooklyn,10/28/2020
25,3,237,20,2,193,Brooklyn,10/27/2020
13,2,221,21,2,190,Brooklyn,10/26/2020
23,3,128,23,2,187,Brooklyn,10/25/2020
24,0,120,22,2,193,Brooklyn,10/24/2020
24,1,199,20,3,189,Brooklyn,10/23/2020
14,2,242,20,3,184,Brooklyn,10/22/2020
19,3,203,22,3,184,Brooklyn,10/21/2020
33,2,214,23,3,185,Brooklyn,10/20/2020
26,6,204,21,3,187,Brooklyn,10/19/2020
17,1,172,21,2,190,Brooklyn,10/18/2020
9,3,91,22,2,181,Brooklyn,10/17/2020
19,3,163,23,2,182,Brooklyn,10/16/2020
33,2,239,24,2,185,Brooklyn,10/15/2020
23,3,215,22,2,182,Brooklyn,10/14/2020
18,3,224,22,1,183,Brooklyn,10/13/2020
29,1,223,23,1,187,Brooklyn,10/12/2020
20,2,115,22,1,206,Brooklyn,10/11/2020
18,0,96,23,1,213,Brooklyn,10/10/2020
29,0,184,22,1,212,Brooklyn,10/9/2020
20,3,217,21,2,225,Brooklyn,10/8/2020
22,1,223,22,1,241,Brooklyn,10/7/2020
23,2,251,23,2,250,Brooklyn,10/6/2020
25,0,355,23,2,265,Brooklyn,10/5/2020
22,3,162,21,2,234,Brooklyn,10/4/2020
12,1,94,20,2,237,Brooklyn,10/3/2020
26,1,271,20,2,239,Brooklyn,10/2/2020
22,1,332,19,2,227,Brooklyn,10/1/2020
33,4,284,18,2,218,Brooklyn,9/30/2020
18,2,355,17,1,216,Brooklyn,9/29/2020
12,1,139,16,1,195,Brooklyn,9/28/2020
19,2,181,16,1,213,Brooklyn,9/27/2020
8,1,109,14,1,198,Brooklyn,9/26/2020
20,0,192,14,2,192,Brooklyn,9/25/2020
15,1,263,13,2,180,Brooklyn,9/24/2020
24,1,271,13,2,166,Brooklyn,9/23/2020
12,3,209,13,2,156,Brooklyn,9/22/2020
13,1,264,12,1,153,Brooklyn,9/21/2020
9,3,78,13,2,140,Brooklyn,9/20/2020
6,2,66,12,1,146,Brooklyn,9/19/2020
15,2,108,12,1,144,Brooklyn,9/18/2020
13,2,163,11,1,144,Brooklyn,9/17/2020
24,0,201,11,1,139,Brooklyn,9/16/2020
6,0,189,9,1,127,Brooklyn,9/15/2020
15,2,178,9,1,118,Brooklyn,9/14/2020
8,2,118,8,1,103,Brooklyn,9/13/2020
3,0,51,9,1,99,Brooklyn,9/12/2020
9,2,111,10,1,98,Brooklyn,9/11/2020
9,1,124,10,1,93,Brooklyn,9/10/2020
11,0,119,9,1,88,Brooklyn,9/9/2020
8,1,126,10,2,84,Brooklyn,9/8/2020
7,0,75,10,1,79,Brooklyn,9/7/2020
15,2,87,11,1,85,Brooklyn,9/6/2020
10,3,46,10,1,82,Brooklyn,9/5/2020
8,1,71,9,1,80,Brooklyn,9/4/2020
7,2,91,10,1,81,Brooklyn,9/3/2020
14,2,94,10,1,83,Brooklyn,9/2/2020
9,0,89,10,0,86,Brooklyn,9/1/2020
14,0,118,11,1,85,Brooklyn,8/31/2020
5,1,62,10,1,80,Brooklyn,8/30/2020
9,1,38,10,1,79,Brooklyn,8/29/2020
9,0,78,10,1,79,Brooklyn,8/28/2020
9,0,99,10,1,79,Brooklyn,8/27/2020
14,0,117,10,1,73,Brooklyn,8/26/2020
14,2,84,10,1,66,Brooklyn,8/25/2020
9,1,85,9,1,63,Brooklyn,8/24/2020
7,0,55,8,1,65,Brooklyn,8/23/2020
6,2,36,8,1,64,Brooklyn,8/22/2020
9,0,75,8,1,63,Brooklyn,8/21/2020
8,3,56,9,1,64,Brooklyn,8/20/2020
14,1,69,9,1,68,Brooklyn,8/19/2020
9,0,66,8,1,75,Brooklyn,8/18/2020
6,1,96,8,1,77,Brooklyn,8/17/2020
5,1,49,9,1,74,Brooklyn,8/16/2020
7,1,33,10,1,74,Brooklyn,8/15/2020
11,0,80,10,1,77,Brooklyn,8/14/2020
13,2,86,10,1,79,Brooklyn,8/13/2020
7,0,114,10,1,79,Brooklyn,8/12/2020
9,1,82,11,1,75,Brooklyn,8/11/2020
14,1,75,11,1,71,Brooklyn,8/10/2020
9,0,48,11,1,73,Brooklyn,8/9/2020
8,1,57,11,1,72,Brooklyn,8/8/2020
9,0,90,12,1,72,Brooklyn,8/7/2020
12,2,86,12,1,71,Brooklyn,8/6/2020
14,0,90,12,1,72,Brooklyn,8/5/2020
12,1,49,12,1,70,Brooklyn,8/4/2020
12,0,93,13,1,78,Brooklyn,8/3/2020
9,2,38,13,2,76,Brooklyn,8/2/2020
15,3,58,12,2,76,Brooklyn,8/1/2020
9,1,80,12,2,73,Brooklyn,7/31/2020
15,2,99,12,2,71,Brooklyn,7/30/2020
12,1,73,11,2,69,Brooklyn,7/29/2020
18,1,106,11,2,72,Brooklyn,7/28/2020
11,1,78,10,2,69,Brooklyn,7/27/2020
6,4,40,10,3,70,Brooklyn,7/26/2020
12,2,35,11,3,70,Brooklyn,7/25/2020
12,2,68,10,3,73,Brooklyn,7/24/2020
7,3,84,10,3,78,Brooklyn,7/23/2020
14,1,96,10,2,79,Brooklyn,7/22/2020
9,3,79,11,2,87,Brooklyn,7/21/2020
11,4,85,11,3,91,Brooklyn,7/20/2020
11,3,41,12,2,97,Brooklyn,7/19/2020
6,4,58,12,2,99,Brooklyn,7/18/2020
14,0,105,13,2,101,Brooklyn,7/17/2020
8,1,90,13,2,99,Brooklyn,7/16/2020
21,2,150,14,2,101,Brooklyn,7/15/2020
9,4,111,13,2,97,Brooklyn,7/14/2020
15,1,123,12,2,98,Brooklyn,7/13/2020
10,2,55,13,2,101,Brooklyn,7/12/2020
14,2,73,12,2,101,Brooklyn,7/11/2020
17,1,90,11,2,94,Brooklyn,7/10/2020
11,4,104,11,2,91,Brooklyn,7/9/2020
12,2,121,11,2,94,Brooklyn,7/8/2020
6,2,123,11,2,94,Brooklyn,7/7/2020
18,2,142,13,2,95,Brooklyn,7/6/2020
5,1,53,13,3,93,Brooklyn,7/5/2020
8,3,23,14,3,93,Brooklyn,7/4/2020
14,3,72,16,3,100,Brooklyn,7/3/2020
14,3,127,16,3,103,Brooklyn,7/2/2020
12,3,121,15,3,97,Brooklyn,7/1/2020
17,2,127,16,4,94,Brooklyn,6/30/2020
21,4,127,16,4,89,Brooklyn,6/29/2020
11,1,57,16,4,87,Brooklyn,6/28/2020
20,7,70,16,5,87,Brooklyn,6/27/2020
14,3,95,15,4,83,Brooklyn,6/26/2020
10,4,81,16,4,83,Brooklyn,6/25/2020
19,6,101,17,4,87,Brooklyn,6/24/2020
17,4,95,16,4,89,Brooklyn,6/23/2020
18,5,110,17,5,94,Brooklyn,6/22/2020
16,6,55,18,4,93,Brooklyn,6/21/2020
10,3,46,18,4,93,Brooklyn,6/20/2020
23,3,91,18,5,94,Brooklyn,6/19/2020
16,4,112,17,5,98,Brooklyn,6/18/2020
15,6,115,17,5,98,Brooklyn,6/17/2020
23,5,132,18,6,96,Brooklyn,6/16/2020
22,4,103,18,6,94,Brooklyn,6/15/2020
14,6,53,17,7,95,Brooklyn,6/14/2020
11,4,50,18,7,95,Brooklyn,6/13/2020
21,6,122,18,8,96,Brooklyn,6/12/2020
15,4,113,17,8,98,Brooklyn,6/11/2020
17,11,99,19,9,100,Brooklyn,6/10/2020
23,6,119,21,9,104,Brooklyn,6/9/2020
20,13,111,21,9,113,Brooklyn,6/8/2020
18,6,52,23,9,133,Brooklyn,6/7/2020
10,11,58,23,10,137,Brooklyn,6/6/2020
18,6,131,24,9,143,Brooklyn,6/5/2020
28,10,128,24,11,148,Brooklyn,6/4/2020
28,13,131,24,11,161,Brooklyn,6/3/2020
23,6,178,23,11,177,Brooklyn,6/2/2020
34,10,250,23,11,196,Brooklyn,6/1/2020
17,11,84,21,12,183,Brooklyn,5/31/2020
18,10,101,21,12,194,Brooklyn,5/30/2020
23,16,162,22,14,200,Brooklyn,5/29/2020
26,12,219,24,13,227,Brooklyn,5/28/2020
19,10,242,24,14,244,Brooklyn,5/27/2020
21,11,313,26,15,255,Brooklyn,5/26/2020
20,14,160,29,16,257,Brooklyn,5/25/2020
22,12,161,30,17,272,Brooklyn,5/24/2020
24,20,143,29,18,269,Brooklyn,5/23/2020
33,15,350,30,18,272,Brooklyn,5/22/2020
32,15,336,32,20,259,Brooklyn,5/21/2020
32,21,323,33,20,259,Brooklyn,5/20/2020
38,16,327,35,20,264,Brooklyn,5/19/2020
28,17,266,35,22,275,Brooklyn,5/18/2020
18,19,138,38,25,295,Brooklyn,5/17/2020
30,24,165,40,26,302,Brooklyn,5/16/2020
43,27,259,42,26,296,Brooklyn,5/15/2020
39,14,332,43,28,308,Brooklyn,5/14/2020
47,23,362,45,33,318,Brooklyn,5/13/2020
38,33,400,47,35,331,Brooklyn,5/12/2020
50,32,410,51,38,335,Brooklyn,5/11/2020
36,26,188,54,39,343,Brooklyn,5/10/2020
38,28,119,58,42,351,Brooklyn,5/9/2020
53,43,344,60,44,371,Brooklyn,5/8/2020
53,46,403,62,46,393,Brooklyn,5/7/2020
62,38,450,65,49,421,Brooklyn,5/6/2020
66,50,433,69,53,455,Brooklyn,5/5/2020
73,42,461,73,54,494,Brooklyn,5/4/2020
58,45,245,76,61,515,Brooklyn,5/3/2020
53,45,263,78,63,527,Brooklyn,5/2/2020
66,56,497,84,68,547,Brooklyn,5/1/2020
74,65,600,93,73,566,Brooklyn,4/30/2020
94,71,683,101,79,593,Brooklyn,4/29/2020
92,57,709,107,84,617,Brooklyn,4/28/2020
93,86,607,117,89,644,Brooklyn,4/27/2020
76,61,332,131,90,698,Brooklyn,4/26/2020
94,77,404,138,98,741,Brooklyn,4/25/2020
128,93,630,147,104,766,Brooklyn,4/24/2020
127,106,786,162,107,813,Brooklyn,4/23/2020
140,107,854,177,110,827,Brooklyn,4/22/2020
162,92,896,193,114,831,Brooklyn,4/21/2020
189,95,983,208,122,851,Brooklyn,4/20/2020
124,118,635,228,131,863,Brooklyn,4/19/2020
158,116,575,246,143,873,Brooklyn,4/18/2020
236,118,962,267,149,952,Brooklyn,4/17/2020
230,126,884,280,158,978,Brooklyn,4/16/2020
250,132,882,307,167,1048,Brooklyn,4/15/2020
267,152,1038,337,172,1108,Brooklyn,4/14/2020
328,157,1066,365,176,1159,Brooklyn,4/13/2020
255,201,703,386,178,1216,Brooklyn,4/12/2020
300,160,1131,408,173,1279,Brooklyn,4/11/2020
330,178,1144,419,174,1248,Brooklyn,4/10/2020
420,188,1369,436,169,1291,Brooklyn,4/9/2020
456,171,1305,440,166,1325,Brooklyn,4/8/2020
469,180,1397,448,161,1366,Brooklyn,4/7/2020
475,169,1461,459,154,1382,Brooklyn,4/6/2020
404,165,1143,471,145,1424,Brooklyn,4/5/2020
379,164,920,480,134,1425,Brooklyn,4/4/2020
450,144,1440,482,122,1417,Brooklyn,4/3/2020
447,171,1610,485,112,1415,Brooklyn,4/2/2020
515,135,1590,492,94,1381,Brooklyn,4/1/2020
544,127,1512,479,80,1333,Brooklyn,3/31/2020
558,106,1754,453,66,1290,Brooklyn,3/30/2020
464,90,1149,415,54,1170,Brooklyn,3/29/2020
396,78,863,379,43,1113,Brooklyn,3/28/2020
474,75,1426,349,33,1069,Brooklyn,3/27/2020
490,50,1372,313,24,1028,Brooklyn,3/26/2020
424,37,1255,266,18,1004,Brooklyn,3/25/2020
363,23,1212,223,14,962,Brooklyn,3/24/2020
297,27,910,185,11,901,Brooklyn,3/23/2020
207,10,755,156,7,877,Brooklyn,3/22/2020
185,12,554,134,6,831,Brooklyn,3/21/2020
223,12,1136,113,4,775,Brooklyn,3/20/2020
160,6,1204,87,3,636,Brooklyn,3/19/2020
123,6,965,69,2,478,Brooklyn,3/18/2020
100,4,783,53,1,344,Brooklyn,3/17/2020
93,1,740,41,0,234,Brooklyn,3/16/2020
52,0,432,29,0,131,Brooklyn,3/15/2020
40,1,163,23,0,70,Brooklyn,3/14/2020
44,0,166,18,0,47,Brooklyn,3/13/2020
33,0,96,12,0,23,Brooklyn,3/12/2020
12,0,31,7,0,10,Brooklyn,3/11/2020
13,0,11,6,0,6,Brooklyn,3/10/2020
11,0,16,4,0,4,Brooklyn,3/9/2020
8,0,5,3,0,2,Brooklyn,3/8/2020
3,0,2,2,0,1,Brooklyn,3/7/2020
1,0,1,2,0,1,Brooklyn,3/6/2020
3,0,3,0,0,0,Brooklyn,3/5/2020
1,0,1,0,0,0,Brooklyn,3/4/2020
3,0,0,0,0,0,Brooklyn,3/3/2020
2,0,0,0,0,0,Brooklyn,3/2/2020
0,0,0,0,0,0,Brooklyn,3/1/2020
1,0,0,0,0,0,Brooklyn,2/29/2020
0,4,496,20,9,501,Citywide,3/3/2022
7,11,559,25,11,522,Citywide,3/2/2022
31,12,582,30,12,541,Citywide,3/1/2022
30,4,684,32,12,554,Citywide,2/28/2022
22,17,357,34,16,534,Citywide,2/27/2022
15,6,325,35,15,537,Citywide,2/26/2022
37,12,504,40,18,550,Citywide,2/25/2022
35,17,643,42,21,573,Citywide,2/24/2022
38,16,694,47,25,598,Citywide,2/23/2022
49,12,672,51,27,632,Citywide,2/22/2022
41,29,541,54,28,670,Citywide,2/21/2022
33,15,377,59,27,737,Citywide,2/20/2022
46,28,422,62,31,749,Citywide,2/19/2022
51,33,662,65,32,779,Citywide,2/18/2022
71,42,816,72,33,824,Citywide,2/17/2022
65,28,935,73,33,881,Citywide,2/16/2022
72,24,934,80,36,935,Citywide,2/15/2022
73,20,1013,88,40,1017,Citywide,2/14/2022
55,41,460,91,43,1102,Citywide,2/13/2022
68,33,631,98,44,1160,Citywide,2/12/2022
97,43,980,104,47,1205,Citywide,2/11/2022
84,39,1217,111,48,1284,Citywide,2/10/2022
110,49,1313,119,52,1395,Citywide,2/9/2022
126,56,1506,126,58,1544,Citywide,2/8/2022
100,39,1608,133,61,1648,Citywide,2/7/2022
99,52,867,147,67,1863,Citywide,2/6/2022
113,50,943,153,72,1942,Citywide,2/5/2022
144,50,1533,156,76,1879,Citywide,2/4/2022
138,70,1997,165,83,2046,Citywide,2/3/2022
163,92,2354,185,84,2267,Citywide,2/2/2022
171,71,2237,201,87,2516,Citywide,2/1/2022
203,86,3112,225,91,2875,Citywide,1/31/2022
138,87,1420,245,94,3259,Citywide,1/30/2022
134,75,503,264,96,3537,Citywide,1/29/2022
207,98,2699,289,97,3983,Citywide,1/28/2022
278,79,3541,314,99,4427,Citywide,1/27/2022
274,110,4099,341,104,4920,Citywide,1/26/2022
339,99,4754,364,102,5613,Citywide,1/25/2022
348,112,5797,386,104,6470,Citywide,1/24/2022
268,100,3369,413,104,7007,Citywide,1/23/2022
308,84,3620,438,105,7484,Citywide,1/22/2022
386,108,5808,466,108,7915,Citywide,1/21/2022
463,117,6995,508,111,8975,Citywide,1/20/2022
434,91,8947,544,112,10232,Citywide,1/19/2022
497,119,10752,590,116,11575,Citywide,1/18/2022
536,106,9556,628,118,12618,Citywide,1/17/2022
441,113,6713,681,118,14721,Citywide,1/16/2022
504,100,6636,721,119,15808,Citywide,1/15/2022
680,129,13228,758,119,17162,Citywide,1/14/2022
717,125,15790,778,113,18563,Citywide,1/13/2022
756,119,18349,810,108,21472,Citywide,1/12/2022
759,132,18054,860,102,24570,Citywide,1/11/2022
911,110,24280,895,94,28992,Citywide,1/10/2022
718,119,14322,926,88,33348,Citywide,1/9/2022
766,96,16114,1009,80,35932,Citywide,1/8/2022
817,87,23033,1022,74,35345,Citywide,1/7/2022
943,93,36155,1022,70,36198,Citywide,1/6/2022
1108,80,40035,1033,61,37756,Citywide,1/5/2022
1004,76,49002,1006,56,39219,Citywide,1/4/2022
1127,66,54775,982,51,39261,Citywide,1/3/2022
1296,62,32413,959,46,38725,Citywide,1/2/2022
858,56,12001,879,42,37365,Citywide,1/1/2022
815,54,29003,842,39,36761,Citywide,12/31/2021
1022,35,47066,807,37,35108,Citywide,12/30/2021
921,44,50276,756,35,32919,Citywide,12/29/2021
837,39,49292,720,33,30207,Citywide,12/28/2021
964,35,51025,663,29,27498,Citywide,12/27/2021
736,33,22891,583,26,24194,Citywide,12/26/2021
602,33,7773,525,25,22430,Citywide,12/25/2021
567,40,17431,479,23,22739,Citywide,12/24/2021
662,23,31744,440,20,22182,Citywide,12/23/2021
674,28,31291,391,19,19624,Citywide,12/22/2021
433,11,30330,326,16,17034,Citywide,12/21/2021
410,13,27898,292,17,14253,Citywide,12/20/2021
327,25,10542,261,18,11342,Citywide,12/19/2021
282,18,9934,234,17,10235,Citywide,12/18/2021
293,23,13535,212,16,9125,Citywide,12/17/2021
317,13,13838,193,15,7632,Citywide,12/16/2021
221,10,13162,167,14,6087,Citywide,12/15/2021
197,18,10863,155,14,4655,Citywide,12/14/2021
190,20,7521,146,13,3520,Citywide,12/13/2021
135,17,2794,138,11,2845,Citywide,12/12/2021
130,8,2160,133,11,2646,Citywide,12/11/2021
164,16,3088,126,11,2527,Citywide,12/10/2021
134,10,3021,118,11,2358,Citywide,12/9/2021
138,7,3136,111,12,2226,Citywide,12/8/2021
130,14,2919,104,13,2091,Citywide,12/7/2021
133,8,2794,98,12,1960,Citywide,12/6/2021
102,14,1405,91,12,1895,Citywide,12/5/2021
84,11,1328,84,11,1846,Citywide,12/4/2021
105,13,1900,81,11,1795,Citywide,12/3/2021
86,15,2101,76,11,1691,Citywide,12/2/2021
89,15,2188,73,10,1466,Citywide,12/1/2021
89,7,2002,70,9,1356,Citywide,11/30/2021
80,10,2340,66,9,1267,Citywide,11/29/2021
55,9,1062,63,8,1151,Citywide,11/28/2021
62,8,970,61,8,1120,Citywide,11/27/2021
74,10,1171,59,8,1099,Citywide,11/26/2021
65,8,532,55,8,1101,Citywide,11/25/2021
66,10,1418,53,8,1212,Citywide,11/24/2021
61,6,1376,51,7,1200,Citywide,11/23/2021
56,7,1529,48,8,1185,Citywide,11/22/2021
41,4,841,47,8,1147,Citywide,11/21/2021
47,10,826,47,8,1124,Citywide,11/20/2021
49,8,1184,46,8,1094,Citywide,11/19/2021
51,8,1309,44,8,1072,Citywide,11/18/2021
53,8,1332,44,8,1010,Citywide,11/17/2021
40,10,1272,43,8,969,Citywide,11/16/2021
48,9,1262,42,8,935,Citywide,11/15/2021
38,5,685,41,8,917,Citywide,11/14/2021
41,5,615,41,9,897,Citywide,11/13/2021
39,14,1027,40,10,881,Citywide,11/12/2021
48,7,874,40,8,844,Citywide,11/11/2021
45,7,1045,38,8,849,Citywide,11/10/2021
33,12,1036,40,8,818,Citywide,11/9/2021
45,9,1135,42,8,785,Citywide,11/8/2021
35,8,544,41,7,734,Citywide,11/7/2021
38,11,508,40,7,720,Citywide,11/6/2021
34,5,769,39,6,704,Citywide,11/5/2021
39,4,907,38,6,686,Citywide,11/4/2021
53,7,825,38,7,662,Citywide,11/3/2021
50,9,805,38,7,653,Citywide,11/2/2021
39,4,780,37,7,623,Citywide,11/1/2021
30,7,446,36,8,639,Citywide,10/31/2021
28,9,399,38,9,639,Citywide,10/30/2021
30,4,642,40,9,646,Citywide,10/29/2021
39,7,737,42,9,653,Citywide,10/28/2021
48,9,759,44,10,664,Citywide,10/27/2021
42,8,597,44,10,670,Citywide,10/26/2021
35,9,895,46,10,698,Citywide,10/25/2021
45,14,443,49,10,694,Citywide,10/24/2021
40,10,450,49,10,715,Citywide,10/23/2021
47,9,693,51,9,720,Citywide,10/22/2021
49,13,809,53,9,747,Citywide,10/21/2021
53,7,800,53,8,778,Citywide,10/20/2021
50,10,796,56,8,822,Citywide,10/19/2021
58,10,869,56,7,871,Citywide,10/18/2021
47,9,588,56,7,881,Citywide,10/17/2021
56,6,487,56,8,895,Citywide,10/16/2021
60,7,883,58,9,913,Citywide,10/15/2021
49,8,1023,56,10,931,Citywide,10/14/2021
73,9,1108,58,11,939,Citywide,10/13/2021
49,3,1142,57,12,944,Citywide,10/12/2021
56,9,933,60,12,962,Citywide,10/11/2021
51,16,688,63,12,1010,Citywide,10/10/2021
69,8,612,65,12,1041,Citywide,10/9/2021
46,17,1011,64,12,1051,Citywide,10/8/2021
62,13,1077,69,11,1061,Citywide,10/7/2021
63,15,1145,69,10,1070,Citywide,10/6/2021
71,6,1269,69,10,1063,Citywide,10/5/2021
78,12,1269,69,11,1042,Citywide,10/4/2021
63,12,906,68,12,1059,Citywide,10/3/2021
64,12,680,67,12,1052,Citywide,10/2/2021
82,7,1084,68,13,1071,Citywide,10/1/2021
64,8,1139,68,13,1091,Citywide,9/30/2021
64,13,1095,73,14,1112,Citywide,9/29/2021
66,13,1118,78,14,1158,Citywide,9/28/2021
75,18,1391,81,14,1184,Citywide,9/27/2021
55,15,857,84,13,1220,Citywide,9/26/2021
69,15,814,87,13,1248,Citywide,9/25/2021
82,9,1222,89,13,1268,Citywide,9/24/2021
101,12,1289,90,13,1312,Citywide,9/23/2021
97,13,1415,88,13,1325,Citywide,9/22/2021
86,13,1302,88,12,1353,Citywide,9/21/2021
100,16,1638,87,12,1401,Citywide,9/20/2021
71,16,1057,88,11,1415,Citywide,9/19/2021
87,10,956,90,11,1438,Citywide,9/18/2021
90,11,1525,90,11,1449,Citywide,9/17/2021
85,11,1384,91,12,1452,Citywide,9/16/2021
96,10,1610,94,13,1499,Citywide,9/15/2021
82,9,1639,94,14,1496,Citywide,9/14/2021
104,12,1737,98,14,1486,Citywide,9/13/2021
88,12,1213,95,15,1373,Citywide,9/12/2021
85,15,1036,93,15,1336,Citywide,9/11/2021
99,15,1545,96,15,1317,Citywide,9/10/2021
101,18,1713,93,14,1299,Citywide,9/9/2021
99,20,1589,92,13,1259,Citywide,9/8/2021
113,7,1568,96,12,1254,Citywide,9/7/2021
77,17,947,98,12,1262,Citywide,9/6/2021
76,13,951,104,11,1389,Citywide,9/5/2021
108,12,905,107,11,1395,Citywide,9/4/2021
78,8,1421,103,12,1406,Citywide,9/3/2021
93,11,1431,108,12,1410,Citywide,9/2/2021
130,13,1558,109,12,1440,Citywide,9/1/2021
124,10,1622,106,12,1472,Citywide,8/31/2021
122,13,1836,104,12,1503,Citywide,8/30/2021
92,13,989,104,12,1519,Citywide,8/29/2021
84,14,985,106,11,1480,Citywide,8/28/2021
109,10,1449,110,11,1495,Citywide,8/27/2021
104,13,1643,112,11,1512,Citywide,8/26/2021
110,8,1783,112,11,1518,Citywide,8/25/2021
108,11,1833,112,12,1523,Citywide,8/24/2021
119,12,1951,116,12,1510,Citywide,8/23/2021
106,10,718,117,11,1507,Citywide,8/22/2021
116,16,1091,118,11,1567,Citywide,8/21/2021
123,6,1562,115,10,1561,Citywide,8/20/2021
99,14,1690,118,10,1567,Citywide,8/19/2021
111,13,1813,121,9,1576,Citywide,8/18/2021
136,15,1744,125,9,1568,Citywide,8/17/2021
131,6,1928,123,7,1556,Citywide,8/16/2021
113,6,1143,123,8,1551,Citywide,8/15/2021
94,10,1048,121,8,1541,Citywide,8/14/2021
140,9,1600,120,8,1555,Citywide,8/13/2021
125,6,1758,116,9,1552,Citywide,8/12/2021
138,9,1753,111,9,1519,Citywide,8/11/2021
119,6,1665,104,9,1498,Citywide,8/10/2021
131,9,1890,101,8,1486,Citywide,8/9/2021
99,6,1071,93,7,1440,Citywide,8/8/2021
87,14,1150,86,8,1406,Citywide,8/7/2021
115,11,1576,84,7,1363,Citywide,8/6/2021
89,6,1527,78,6,1320,Citywide,8/5/2021
89,9,1607,77,7,1286,Citywide,8/4/2021
99,2,1582,75,6,1234,Citywide,8/3/2021
75,4,1567,71,7,1180,Citywide,8/2/2021
48,11,830,69,6,1131,Citywide,8/1/2021
70,4,850,68,5,1103,Citywide,7/31/2021
79,9,1280,64,5,1060,Citywide,7/30/2021
76,7,1289,60,4,1008,Citywide,7/29/2021
76,6,1242,56,3,963,Citywide,7/28/2021
71,5,1199,52,3,913,Citywide,7/27/2021
62,1,1225,50,3,843,Citywide,7/26/2021
41,4,634,48,3,784,Citywide,7/25/2021
42,2,552,48,3,749,Citywide,7/24/2021
51,3,917,47,4,719,Citywide,7/23/2021
52,3,972,45,4,667,Citywide,7/22/2021
47,2,893,42,4,607,Citywide,7/21/2021
53,4,706,42,4,558,Citywide,7/20/2021
53,5,811,38,4,523,Citywide,7/19/2021
38,2,393,34,4,475,Citywide,7/18/2021
37,6,340,32,4,457,Citywide,7/17/2021
37,5,556,30,4,442,Citywide,7/16/2021
28,5,553,30,3,416,Citywide,7/15/2021
47,2,547,30,3,389,Citywide,7/14/2021
26,3,459,26,3,368,Citywide,7/13/2021
25,4,475,26,3,354,Citywide,7/12/2021
27,4,267,24,2,313,Citywide,7/11/2021
20,2,238,24,2,292,Citywide,7/10/2021
37,2,370,24,3,279,Citywide,7/9/2021
25,2,367,24,3,260,Citywide,7/8/2021
23,2,400,25,4,236,Citywide,7/7/2021
24,3,361,25,4,211,Citywide,7/6/2021
15,1,187,24,4,190,Citywide,7/5/2021
24,3,124,26,5,193,Citywide,7/4/2021
21,6,146,26,4,191,Citywide,7/3/2021
36,6,232,25,4,187,Citywide,7/2/2021
31,4,205,23,4,180,Citywide,7/1/2021
21,4,225,20,4,175,Citywide,6/30/2021
23,4,213,21,4,170,Citywide,6/29/2021
26,6,206,22,5,164,Citywide,6/28/2021
23,1,110,23,4,159,Citywide,6/27/2021
18,3,118,23,5,157,Citywide,6/26/2021
18,5,180,23,6,155,Citywide,6/25/2021
14,5,175,23,6,152,Citywide,6/24/2021
24,5,188,25,7,154,Citywide,6/23/2021
34,7,171,25,7,152,Citywide,6/22/2021
29,3,168,24,7,153,Citywide,6/21/2021
26,5,97,23,7,155,Citywide,6/20/2021
13,11,107,24,8,158,Citywide,6/19/2021
19,8,160,25,7,160,Citywide,6/18/2021
30,9,188,26,6,164,Citywide,6/17/2021
23,6,174,25,6,159,Citywide,6/16/2021
25,6,180,25,6,165,Citywide,6/15/2021
25,7,181,27,7,164,Citywide,6/14/2021
30,6,116,28,7,170,Citywide,6/13/2021
21,5,121,27,7,172,Citywide,6/12/2021
25,6,188,26,7,175,Citywide,6/11/2021
25,6,156,26,7,180,Citywide,6/10/2021
24,9,211,27,8,187,Citywide,6/9/2021
36,10,176,30,8,192,Citywide,6/8/2021
32,7,219,29,8,208,Citywide,6/7/2021
25,5,130,28,9,193,Citywide,6/6/2021
